instrument_id,date,close,source
aacb.us,NaT,10.36,stooq:us
aacbr.us,NaT,0.3,stooq:us
aacbu.us,NaT,10.7,stooq:us
aacg.us,NaT,1.0,stooq:us
aaci.us,NaT,9.83,stooq:us
aaciu.us,NaT,9.99,stooq:us
aaciw.us,NaT,0.3003,stooq:us
aacou.us,NaT,9.94,stooq:us
aaeq.us,NaT,45.65,stooq:us
aal.us,NaT,10.23,stooq:us
aame.us,NaT,2.39,stooq:us
aaoi.us,NaT,99.74,stooq:us
aaon.us,NaT,81.65,stooq:us
aapg.us,NaT,23.15,stooq:us
aapl.us,NaT,250.07,stooq:us
aard.us,NaT,3.58,stooq:us
abat.us,NaT,2.51,stooq:us
abcb.us,NaT,76.52,stooq:us
abcl.us,NaT,3.27,stooq:us
abeo.us,NaT,4.31,stooq:us
ablv.us,NaT,0.62,stooq:us
ablvw.us,NaT,0.0151,stooq:us
abnb.us,NaT,123.9,stooq:us
abng.us,NaT,14.58,stooq:us
abos.us,NaT,2.28,stooq:us
abpo.us,NaT,0.1132,stooq:us
absi.us,NaT,2.75,stooq:us
abtc.us,NaT,0.8727,stooq:us
abts.us,NaT,1.91,stooq:us
abus.us,NaT,4.28,stooq:us
abvc.us,NaT,0.9286,stooq:us
abve.us,NaT,0.7768,stooq:us
abvew.us,NaT,0.3881,stooq:us
abvx.us,NaT,103.5,stooq:us
abx.us,NaT,8.379,stooq:us
abxl.us,NaT,25.35,stooq:us
acaau.us,NaT,10.05,stooq:us
acad.us,NaT,21.075,stooq:us
acb.us,NaT,3.2,stooq:us
accl.us,NaT,1.36,stooq:us
acdc.us,NaT,6.63,stooq:us
acep.us,NaT,17.2,stooq:us
acet.us,NaT,6.11,stooq:us
acfn.us,NaT,18.56,stooq:us
acgl.us,NaT,93.82,stooq:us
acgln.us,NaT,16.5,stooq:us
acglo.us,NaT,19.61,stooq:us
achc.us,NaT,22.91,stooq:us
achv.us,NaT,2.65,stooq:us
acic.us,NaT,11.17,stooq:us
aciu.us,NaT,2.77,stooq:us
aciw.us,NaT,40.56,stooq:us
acls.us,NaT,99.04,stooq:us
aclx.us,NaT,114.6,stooq:us
acmr.us,NaT,40.15,stooq:us
acnb.us,NaT,47.35,stooq:us
acnt.us,NaT,13.03,stooq:us
acog.us,NaT,5.02,stooq:us
acon.us,NaT,3.08,stooq:us
aconw.us,NaT,0.04,stooq:us
acrs.us,NaT,3.53,stooq:us
acrv.us,NaT,1.31,stooq:us
act.us,NaT,40.48,stooq:us
actg.us,NaT,4.83,stooq:us
actu.us,NaT,2.165,stooq:us
acxp.us,NaT,3.82,stooq:us
adac.us,NaT,9.9,stooq:us
adacu.us,NaT,9.99,stooq:us
adacw.us,NaT,0.3185,stooq:us
adag.us,NaT,3.89,stooq:us
adam.us,NaT,7.1,stooq:us
adamg.us,NaT,24.16,stooq:us
adamh.us,NaT,24.9,stooq:us
adami.us,NaT,24.41,stooq:us
adaml.us,NaT,23.53,stooq:us
adamm.us,NaT,24.455,stooq:us
adamn.us,NaT,22.265,stooq:us
adamo.us,NaT,24.1,stooq:us
adamz.us,NaT,18.0,stooq:us
adbe.us,NaT,236.785,stooq:us
adea.us,NaT,24.43,stooq:us
adgm.us,NaT,1.25,stooq:us
adi.us,NaT,302.98,stooq:us
adil.us,NaT,1.66,stooq:us
adma.us,NaT,9.15,stooq:us
adp.us,NaT,203.19,stooq:us
adpt.us,NaT,12.4,stooq:us
adse.us,NaT,10.93,stooq:us
adsew.us,NaT,0.5699,stooq:us
adsk.us,NaT,232.255,stooq:us
adtn.us,NaT,13.01,stooq:us
adtx.us,NaT,0.8449,stooq:us
adur.us,NaT,9.93,stooq:us
adus.us,NaT,96.01,stooq:us
adv.us,NaT,25.54,stooq:us
advb.us,NaT,4.08,stooq:us
adxn.us,NaT,6.7,stooq:us
aeaq.us,NaT,9.89,stooq:us
aeaqu.us,NaT,10.08,stooq:us
aeaqw.us,NaT,0.3,stooq:us
aebi.us,NaT,9.53,stooq:us
aec.us,NaT,5.39,stooq:us
aehl.us,NaT,1.11,stooq:us
aehr.us,NaT,33.79,stooq:us
aei.us,NaT,1.6,stooq:us
aeis.us,NaT,314.89,stooq:us
aemd.us,NaT,2.15,stooq:us
aent.us,NaT,6.6,stooq:us
aentw.us,NaT,0.650001,stooq:us
aep.us,NaT,131.6,stooq:us
aert.us,NaT,0.328,stooq:us
aertw.us,NaT,0.02,stooq:us
aeva.us,NaT,12.92,stooq:us
aevaw.us,NaT,0.015,stooq:us
aeye.us,NaT,5.92,stooq:us
afbi.us,NaT,19.21,stooq:us
afcg.us,NaT,2.6889,stooq:us
afjk.us,NaT,26.11,stooq:us
afjkr.us,NaT,0.3002,stooq:us
afjku.us,NaT,27.61,stooq:us
afri.us,NaT,9.35,stooq:us
afriw.us,NaT,0.5575,stooq:us
afrm.us,NaT,42.78,stooq:us
afya.us,NaT,14.79,stooq:us
agae.us,NaT,0.29,stooq:us
agbk.us,NaT,7.06,stooq:us
agcc.us,NaT,16.085,stooq:us
agen.us,NaT,3.39,stooq:us
agh.us,NaT,3.43,stooq:us
agio.us,NaT,29.43,stooq:us
agmb.us,NaT,10.88,stooq:us
agmh.us,NaT,0.8784,stooq:us
agnc.us,NaT,9.79,stooq:us
agncl.us,NaT,24.9,stooq:us
agncm.us,NaT,24.51,stooq:us
agncn.us,NaT,25.25,stooq:us
agnco.us,NaT,25.0499,stooq:us
agncp.us,NaT,24.3,stooq:us
agncz.us,NaT,25.2,stooq:us
agpu.us,NaT,1.52,stooq:us
agrz.us,NaT,0.518101,stooq:us
agys.us,NaT,70.48,stooq:us
ahco.us,NaT,11.2,stooq:us
ahg.us,NaT,2.2804,stooq:us
ahma.us,NaT,1.12,stooq:us
aidx.us,NaT,1.78,stooq:us
aiff.us,NaT,2.21,stooq:us
aifu.us,NaT,1.42,stooq:us
aihs.us,NaT,1.52,stooq:us
aiio.us,NaT,0.0875,stooq:us
aiiow.us,NaT,0.0243,stooq:us
aimd.us,NaT,1.363,stooq:us
aims.us,NaT,23.19,stooq:us
aios.us,NaT,0.4801,stooq:us
aiot.us,NaT,2.94,stooq:us
aip.us,NaT,15.0,stooq:us
aire.us,NaT,0.2462,stooq:us
airg.us,NaT,5.4,stooq:us
airj.us,NaT,2.99,stooq:us
airjw.us,NaT,0.73,stooq:us
airo.us,NaT,8.48,stooq:us
airs.us,NaT,3.01,stooq:us
airt.us,NaT,21.97,stooq:us
airtp.us,NaT,19.15,stooq:us
aisp.us,NaT,2.07,stooq:us
aispw.us,NaT,0.7,stooq:us
aixc.us,NaT,1.18,stooq:us
aixi.us,NaT,0.117,stooq:us
akam.us,NaT,115.23,stooq:us
akan.us,NaT,0.5877,stooq:us
akba.us,NaT,1.34,stooq:us
akts.us,NaT,14.94,stooq:us
aktx.us,NaT,0.133,stooq:us
alab.us,NaT,112.71,stooq:us
alar.us,NaT,5.85,stooq:us
albg.us,NaT,14.5,stooq:us
albt.us,NaT,0.49,stooq:us
alco.us,NaT,40.99,stooq:us
alcy.us,NaT,11.77,stooq:us
alcyu.us,NaT,15.0,stooq:us
alcyw.us,NaT,0.1526,stooq:us
aldf.us,NaT,10.565,stooq:us
aldfu.us,NaT,10.66,stooq:us
aldfw.us,NaT,0.35,stooq:us
aldx.us,NaT,1.76,stooq:us
alec.us,NaT,2.02,stooq:us
alf.us,NaT,10.79,stooq:us
alfuu.us,NaT,10.8,stooq:us
alfuw.us,NaT,0.1321,stooq:us
algm.us,NaT,30.5,stooq:us
algn.us,NaT,168.25,stooq:us
algs.us,NaT,6.7,stooq:us
algt.us,NaT,79.3,stooq:us
alhc.us,NaT,16.76,stooq:us
alis.us,NaT,9.98,stooq:us
alisr.us,NaT,0.53,stooq:us
alisu.us,NaT,10.52,stooq:us
alks.us,NaT,29.39,stooq:us
alkt.us,NaT,15.14,stooq:us
allo.us,NaT,2.24,stooq:us
allr.us,NaT,1.0502,stooq:us
allt.us,NaT,6.28,stooq:us
alm.us,NaT,15.05,stooq:us
alms.us,NaT,24.0,stooq:us
almu.us,NaT,12.28,stooq:us
alnt.us,NaT,62.52,stooq:us
alny.us,NaT,319.32,stooq:us
alot.us,NaT,9.53,stooq:us
alov.us,NaT,9.83,stooq:us
alovu.us,NaT,9.9564,stooq:us
alovw.us,NaT,0.44,stooq:us
aloy.us,NaT,10.0922,stooq:us
alps.us,NaT,0.99,stooq:us
alrm.us,NaT,43.06,stooq:us
alrs.us,NaT,23.66,stooq:us
alt.us,NaT,3.03,stooq:us
alti.us,NaT,3.34,stooq:us
alto.us,NaT,4.56,stooq:us
alts.us,NaT,1.228,stooq:us
alvo.us,NaT,3.13,stooq:us
alvow.us,NaT,0.31,stooq:us
alxo.us,NaT,2.04,stooq:us
alzn.us,NaT,1.01,stooq:us
amal.us,NaT,38.31,stooq:us
amat.us,NaT,344.0,stooq:us
amba.us,NaT,51.19,stooq:us
ambr.us,NaT,2.31,stooq:us
amci.us,NaT,5.8,stooq:us
amcx.us,NaT,6.59,stooq:us
amd.us,NaT,205.055,stooq:us
amgn.us,NaT,351.83,stooq:us
amix.us,NaT,0.3977,stooq:us
amkr.us,NaT,45.35,stooq:us
amlx.us,NaT,13.55,stooq:us
amod.us,NaT,0.3425,stooq:us
amodw.us,NaT,0.042,stooq:us
ampg.us,NaT,1.79,stooq:us
ampgr.us,NaT,0.06,stooq:us
ampgz.us,NaT,0.0564,stooq:us
amph.us,NaT,19.15,stooq:us
ampl.us,NaT,6.57,stooq:us
amrn.us,NaT,14.45,stooq:us
amrx.us,NaT,11.925,stooq:us
amsc.us,NaT,33.87,stooq:us
amsf.us,NaT,33.03,stooq:us
amst.us,NaT,1.85,stooq:us
amtx.us,NaT,3.34,stooq:us
amun.us,NaT,26.07,stooq:us
amwd.us,NaT,40.24,stooq:us
amyy.us,NaT,15.525,stooq:us
amzn.us,NaT,201.48,stooq:us
anab.us,NaT,57.06,stooq:us
ande.us,NaT,73.025,stooq:us
aneb.us,NaT,1.02,stooq:us
anel.us,NaT,12.51,stooq:us
angh.us,NaT,3.64,stooq:us
anghw.us,NaT,0.0103,stooq:us
angi.us,NaT,6.53,stooq:us
ango.us,NaT,10.9,stooq:us
anik.us,NaT,13.9201,stooq:us
anip.us,NaT,73.485,stooq:us
anix.us,NaT,2.52,stooq:us
anl.us,NaT,6.49,stooq:us
anna.us,NaT,8.55,stooq:us
annaw.us,NaT,0.9249,stooq:us
annx.us,NaT,5.01,stooq:us
anpa.us,NaT,8.11,stooq:us
ansc.us,NaT,11.24,stooq:us
anscu.us,NaT,11.1,stooq:us
anscw.us,NaT,0.2001,stooq:us
anta.us,NaT,6.565,stooq:us
antx.us,NaT,3.57,stooq:us
anv.us,NaT,24.3,stooq:us
any.us,NaT,1.38,stooq:us
aosl.us,NaT,22.38,stooq:us
aout.us,NaT,9.1,stooq:us
apa.us,NaT,44.975,stooq:us
apac.us,NaT,10.05,stooq:us
apacr.us,NaT,0.1264,stooq:us
apacu.us,NaT,10.2,stooq:us
apad.us,NaT,10.17,stooq:us
apadr.us,NaT,0.41,stooq:us
apadu.us,NaT,10.53,stooq:us
apc.us,NaT,17.56,stooq:us
apei.us,NaT,57.73,stooq:us
apge.us,NaT,78.04,stooq:us
api.us,NaT,3.46,stooq:us
apld.us,NaT,24.075,stooq:us
aplm.us,NaT,17.575,stooq:us
apls.us,NaT,16.98,stooq:us
apm.us,NaT,0.96,stooq:us
