instrument_id,isin,name,asset_type,ticker,currency,market,country,sector,industry,manual_source,notes
-P-HIZ,,Presurance Holdings Inc,stock,-P-HIZ,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
A,,Agilent Technologies Inc,stock,A,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AA,,Alcoa Corp,stock,AA,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAAC,,Columbia AAA CLO,stock,AAAC,USD,NYSE ARCA,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACBR,,Artius II Acquisition Inc Rights,stock,AACBR,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACBU,,Artius II Acquisition Inc - Units (1 Ord Shs & 1 Rts),stock,AACBU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACG,,ATA Creativity Global,stock,AACG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACI,,Armada Acquisition Corp I,stock,AACI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACIU,,Armada Acquisition Corp III - Units (1 Ord Cls A & 1/2 War),stock,AACIU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACIW,,Armada Acquisition Corp I - Warrants (13/08/2026),stock,AACIW,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACOU,,Abony Acquisition Corp I - Units (1 Ord Cls A & 1/3 War),stock,AACOU,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AACTWS,,Ares Acquisition Corporation II Redeemable Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of 11.50,stock,AACTWS,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAL,,American Airlines Group Inc,stock,AAL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAM-WS,,AA Mission Acquisition Corp Warrants each whole warrant entitles the holder to purchase one Class A ordinary share at a price of 11.50 per share,stock,AAM-WS,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAME,,Atlantic American Corp,stock,AAME,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAMI,,BrightSphere Investment Group Inc,stock,AAMI,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAOI,,Applied Optoelectronics Inc,stock,AAOI,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAON,,AAON Inc,stock,AAON,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAOX,,Tradr 2X Long AAOI Daily,stock,AAOX,USD,BATS,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAP,,Advance Auto Parts Inc,stock,AAP,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAPG,,Ascentage Pharma Group International,stock,AAPG,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAPGV,,Ascentage Pharma Group International American Depository Shares,stock,AAPGV,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAPL,,Apple Inc,stock,AAPL,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AARD,,Aardvark Therapeutics Inc,stock,AARD,USD,NASDAQ,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAT,,American Assets Trust Inc,stock,AAT,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
AAUC,,Allied Gold Corporation,stock,AAUC,USD,NYSE,US,,,alpha_vantage:listing_status,Alpha Vantage listing status
